pid,year,jbsect1,jbhrs1,age,e1,spelldur1,logw1,jbsect2,jbhrs2,j2u,j2j,u2j,e2,logw2,sex,educ,nonwhite
15047199,2000,4,20,49,1,98.498627,6.4208574,,,0,0,0,,,0,1,0
15047229,1994,1,39,43,1,37.906849,7.1793461,1,40,0,1,0,1,6.8937039,1,1,0
15050548,1994,1,40,41,1,23.769863,6.4003348,,,0,0,0,,,1,2,1
15062899,1995,1,53,29,1,37.216438,6.3079109,,,0,0,0,,,1,2,0
15084132,1992,1,-8,54,0,.19726028,,1,17,0,0,1,1,5.3844562,1,1,0
15085252,1994,4,17,58,1,22.980822,5.6996608,,,0,0,0,,,0,1,1
15104281,1994,1,39,34,1,24.295891,7.0840526,,,0,0,0,,,1,1,0
15105407,1997,3,40,33,1,60.624657,7.4497204,,,0,0,0,,,0,2,0
15108791,2002,1,39,41,1,122.36713,6.5711622,1,48,0,1,0,1,7.2005258,1,1,0
15109887,1996,1,40,31,1,48.098629,7.2018962,,,0,0,0,,,1,1,0
15115488,1999,3,37,45,1,86.432877,7.0164313,6,37,0,1,0,1,6.964797,1,3,0
15115518,2002,3,37,47,1,121.21644,6.9161534,,,0,0,0,,,0,3,0
15117723,1995,3,39,35,1,36.032875,7.468792,,,0,0,0,,,1,3,0
15123316,2003,1,65,50,1,130.68494,7.1108522,,,0,0,0,,,1,1,0
15126676,1992,1,15,34,1,10.323288,5.6339688,1,15,0,1,0,1,5.6253505,0,1,0
15126706,2003,1,35,44,1,130.94795,7.4673648,,,0,0,0,,,1,2,0
15130037,2003,1,39,41,1,132.46028,7.451272,,,0,0,0,,,1,1,0
15131211,2003,3,37,45,1,131.8685,7.1208191,,,0,0,0,,,1,2,0
15136787,2003,3,23,57,1,131.4411,6.2968898,,,0,0,0,,,0,1,0
15162508,1992,1,40,39,1,5.9178081,7.494031,1,40,0,1,0,1,7.261817,1,2,0
15162532,1992,1,39,38,1,3.0575342,6.3349299,1,39,0,1,0,1,6.2661943,0,1,0
15165922,1995,1,39,29,1,41.621918,6.8359981,1,50,0,1,0,1,7.1310382,1,1,0
15171523,2001,1,48,38,1,111.48493,6.9387488,1,60,0,1,0,1,6.7873631,1,1,0
15172589,2001,1,39,41,1,110.46575,6.9125352,1,39,0,1,0,1,6.8588219,1,1,0
15173739,1996,1,38,49,1,50.761642,7.6257277,1,40,1,0,0,0,6.9551673,1,1,0
15174816,2003,1,40,59,1,131.53972,7.8455324,,,0,0,0,,,1,1,0
15174859,2003,1,30,57,1,131.76987,6.6673784,,,0,0,0,,,0,1,0
15175936,1992,1,40,32,1,.16438356,6.7085547,1,40,0,1,0,1,6.2969661,1,1,0
15187136,2003,1,40,39,1,138.3452,7.2828255,,,0,0,0,,,1,2,0
15187179,1997,1,38,32,1,66.213699,6.9788089,1,37,0,1,0,1,7.4981565,0,3,0
15189376,2003,3,37,47,1,132.32877,6.9076533,,,0,0,0,,,1,1,0
15198332,1992,3,15,51,1,2.3013699,5.7603889,1,13,0,1,0,1,5.2208266,0,3,0
15198367,1994,1,30,53,1,34.126026,7.500567,-8,-8,1,0,0,0,,1,3,0
15207293,2003,1,41,54,1,132.95343,6.9758224,,,0,0,0,,,1,1,0
15207323,2001,6,37,51,1,117.46849,7.0955887,1,35,0,1,0,1,7.3056026,0,1,0
15214001,1995,1,39,51,1,46.454796,7.2133074,1,39,0,1,0,1,7.1754899,1,3,0
15219631,1996,1,40,43,1,50.89315,7.095706,1,35,1,0,0,0,6.6097555,1,1,0
15225232,1994,1,40,47,1,33.863014,6.2518787,1,32,0,1,0,1,6.2978482,0,1,0
15229688,2003,2,39,40,1,131.5726,7.2858901,,,0,0,0,,,1,1,0
